"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://ayrshirefencinggroup.com/shed-builder-irvine","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Shed Builder Irvine | Custom Shed Installation | Ayrshire Fencing Group","71","628","Professional fencing and decking services in Ayrshire. Expert installation, quality materials, free quotes. Fully insured contractors with 13+ years experience.","160","962","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","Quality Fencing & Decking Services","34","Expert Shed Builder in Irvine","29","Shed Builder Services","21","Our Services","12","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/shed-builder-irvine.html","","","","","","59907","10937","10937","4.190","","588","102","5.765","53.078","Fairly Hard","6.867","1","0","","2","2","0","5.130","22","12","0","2","2","0","","","","","e4ebdc419dc36c1f78696a6fd90de073","0.330","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/shed-builder-irvine","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/project/fencing-project-two","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Fencing Installation Project Ayrshire | Ayrshire Fencing Group","62","544","Explore our fencing installation project in Ayrshire. Expert craftsmanship delivering secure, attractive boundary solutions for residential properties.","151","900","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/project/fencing-project-two","","","","","","29767","7641","7641","2.927","","107","25","4.280","69.661","Normal","2.601","1","1","","3","3","0","7.690","13","5","0","2","2","0","","","","","e3579968b16c844d709101d7e234070b","0.302","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/project/fencing-project-two","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/decking-projects","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Decking Projects Ayrshire | Completed Decking Installations | Ayrshire Fencing Group","84","754","View our completed decking projects in Ayrshire. Professional timber and composite decking installations showcasing quality craftsmanship and beautiful outdoor spaces.","167","1059","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","Decking Projects","16","","0","Decking Project Four","20","Decking Project Five","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/decking-projects","","","","","","38194","8302","8302","3.180","","121","32","3.781","68.057","Normal","2.299","1","0","","1","1","0","2.560","16","8","0","2","2","0","","","","","705b4d6f9755597e38e88dac596f48a0","0.296","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/decking-projects","2025-11-29 23:32:14"
"https://ayrshirefencinggroup.com/logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","19516","19516","19516","7.476","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.105","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/logo.webp","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/trust.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","55142","55142","55142","21.124","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.087","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/trust.webp","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/projects/project-6.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","477568","477568","477568","182.947","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.098","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/projects/project-6.webp","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/projects/project-5.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","330510","330510","330510","126.612","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.096","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/projects/project-5.webp","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/projects/project-1.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","2245772","2245772","2245772","860.313","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.093","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/projects/project-1.webp","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/service/decking","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Decking Installation Ayrshire | Professional Timber Decking | Ayrshire Fencing Group","84","749","Professional decking installation in Ayrshire & Glasgow. High-quality timber and composite decking. Expert installation, free quotes, 13+ years experience.","155","951","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/service/decking","","","","","","30024","7665","7665","2.936","","107","25","4.280","69.661","Normal","2.578","1","1","","11","8","0","20.510","13","5","0","2","2","0","","","","","aa5f0f4c0123a00fd64a67fe6316cd5d","0.295","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/service/decking","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/project/wooden-fencing","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Wooden Fencing Project Ayrshire | Ayrshire Fencing Group","56","518","See our wooden fencing project completed in Ayrshire. High-quality timber fencing installation demonstrating professional workmanship and natural beauty.","153","965","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/project/wooden-fencing","","","","","","29720","7638","7638","2.926","","107","25","4.280","69.661","Normal","2.605","1","1","","3","3","0","7.690","13","5","0","2","2","0","","","","","61f20a5cb800fff7609f08dd5df4264a","0.305","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/project/wooden-fencing","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/ABOUTMCINES.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","777386","777386","777386","297.802","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.096","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/ABOUTMCINES.webp","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/projects/project-4.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","854704","854704","854704","327.421","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.107","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/projects/project-4.webp","2025-11-29 23:32:15"
"https://www.ayrshirefencinggroup.com/","text/plain; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","48","48","48","0.018","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.105","","https://ayrshirefencinggroup.com/","HTTP Redirect","","","1.1","","","","","","https://www.ayrshirefencinggroup.com/","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/services","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Our Services - Ayrshire Fencing Group | Fencing, Decking & Garden Solutions","75","677","Professional fencing, decking, gates, sheds, and garden room services in Ayrshire. Expert installation, quality materials, free quotes. 13+ years experience.","157","950","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","Quality Fencing & Decking Services","34","","0","Our Services","12","Why Choose Ayrshire Fencing Group?","34","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/services","","","","","","59063","10445","10445","4.001","","418","77","5.429","53.376","Fairly Hard","4.945","1","0","","79","39","0","100.000","21","11","0","2","2","0","","","","","6852de42a2ccab1c99c827c67b962fa1","0.308","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/services","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/service/fence-repairs","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Fence Repair Ayrshire | Expert Repair & Restoration | Ayrshire Fencing Group","76","676","Expert fence repair services in Ayrshire. Fast, reliable repairs for all fence types. Fully qualified contractors, free quotes, 13+ years experience.","149","873","fence contractor ayrshire, fencing ayrshire, decking ayrshire, fence installation ayrshire, fence repairs ayrshire, gates ayrshire, sheds ayrshire, garden rooms ayrshire, wooden fencing ayrshire, composite fencing ayrshire, chainlink fencing ayrshire, timber decking ayrshire, composite decking ayrshire, fencing glasgow, decking glasgow","337","","0","","0","Get a free quote today","22","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ayrshirefencinggroup.com/service/fence-repairs","","","","","","30025","7686","7686","2.944","","107","25","4.280","69.661","Normal","2.578","1","1","","10","8","0","20.510","13","5","0","2","2","0","","","","","3937859afba0058665b02f4a380433c2","0.248","","","","","en","1.1","","","","","","https://ayrshirefencinggroup.com/service/fence-repairs","2025-11-29 23:32:15"
"https://ayrshirefencinggroup.com/_astro/about.BMGfT4Ru.css","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.210","","","","","","1.1","","","","","","https://ayrshirefencinggroup.com/_astro/about.BMGfT4Ru.css","2025-11-29 23:32:15"
